,0k2cq,0tsou,2zt0y,306fp,36mab,4718r,4snwv,4x99y,6062q,6xiit,75581,7nrit,7tb58,95saa,97vve,9fwxw,9h24q,9n6v4,9njqe,a9qsd,aewa7,b4bxs,brhrx,d2tzi,edf28,h2aeg,hktsr,i5rpt,ickpq,ijhu4,m2k0x,npuga,o1ojm,o6p8o,o7hgm,otwp4,rcql6,rpwiz,t0nen,t2ukq,t3l4h,tx96a,u0fbt,u5ghe,wcnoy,wpok6,wvk2n,xqhhy,y2i17,ydda7
nazhy,0.2,0.1,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.1,0.0,0.1,0.3,0.2,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.3,0.1,0.3,0.3,0.1,0.2,0.1,0.4,0.2,0.2,0.0,0.1,0.0,0.1,0.4,0.3,0.0,0.1,0.0,0.2,0.2,0.0,0.0
nlbv4,0.1,0.2,0.4,0.2,0.5,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.4,0.0,0.5,0.1,0.0,0.1,0.5,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.6,0.3,0.2,0.6,0.5,0.4,0.2,0.9,0.1,0.6,0.0,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.1,0.0
ntnxa,0.0,0.0,0.3,0.3,0.5,0.1,0.1,0.0,0.0,0.2,0.7,0.3,0.2,0.3,0.1,0.8,0.3,0.3,0.0,0.5,0.0,0.0,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.7,0.4,0.2,0.4,0.0,0.5,0.0,0.9,0.1,0.5,0.2,0.2,0.0,0.3,0.3,0.0,0.4,0.1,0.0,0.2,0.0
nydb5,1.0,0.0,0.1,0.2,0.7,0.0,0.9,0.2,0.9,0.3,0.4,0.6,0.9,1.0,0.4,0.6,0.0,0.2,0.7,0.8,0.6,0.0,0.0,0.3,0.2,0.2,0.7,0.9,0.9,0.7,0.8,0.3,0.6,0.0,1.0,0.0,0.6,0.6,0.0,0.2,0.7,0.8,1.0,0.8,0.1,0.0,0.3,0.1,1.0,0.9
o1trj,0.0,0.0,0.0,0.1,0.3,0.5,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.6,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.2,0.2,0.4,0.2,0.2,0.2,0.0,0.0,0.4,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.2,0.0
o2iv6,0.0,0.0,0.1,0.2,0.7,0.2,0.0,0.0,0.1,0.0,0.6,0.3,0.3,0.1,0.1,0.9,0.2,0.2,0.5,0.3,0.2,0.0,0.0,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.3,0.2,0.2,0.5,0.0,0.7,0.1,0.6,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.1,0.3,0.1,0.1
o8v77,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ol480,0.0,0.0,0.4,0.3,0.9,0.1,0.0,0.2,0.0,0.0,0.6,0.3,0.3,0.2,0.1,0.5,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.0,0.1,0.6,0.1,0.2,0.4,0.5,0.4,0.0,1.0,0.0,0.6,0.3,0.0,0.1,0.0,0.5,0.4,0.0,0.4,0.5,0.1,0.0
p2vqb,0.4,0.0,0.8,0.7,1.0,0.7,0.0,0.5,0.7,0.4,0.0,0.7,0.6,0.0,0.8,0.9,0.7,0.0,0.9,1.0,0.7,0.4,0.8,0.7,0.6,0.7,0.9,0.7,0.5,0.0,0.8,0.5,0.8,1.0,1.0,0.6,1.0,0.6,1.0,0.8,0.5,0.6,0.9,0.0,0.9,0.9,0.9,0.6,0.8,0.7
pw8xj,0.1,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.2,0.0,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.3,0.2,0.2,0.1,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0
pwl7i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.3,0.2,0.2,0.1,0.1,0.3,0.1,0.5,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qmgrq,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.3,0.1,0.1,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.1,0.0,0.0,0.1,0.0,0.0
qz8t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r7exg,0.3,0.1,0.2,0.3,0.7,0.4,0.3,0.0,0.1,0.1,0.2,0.1,0.2,0.6,0.4,0.0,0.1,0.1,0.4,0.4,0.3,0.3,0.0,0.1,0.1,0.1,0.3,0.1,0.0,0.4,0.4,0.2,0.4,0.0,0.6,0.3,0.5,0.0,0.5,0.3,0.1,0.4,0.6,0.3,0.1,0.3,0.3,0.4,0.4,0.2
rqgcw,0.1,0.5,0.6,0.0,0.2,0.3,0.2,0.8,0.3,0.2,0.7,0.1,0.4,0.2,0.0,0.6,0.4,0.3,0.2,0.3,0.6,0.0,0.7,0.0,0.7,1.0,0.2,0.3,0.4,0.1,0.5,0.0,0.8,0.1,0.6,0.0,0.4,0.6,0.4,0.7,0.7,0.3,0.0,0.3,0.0,0.9,0.7,0.0,0.2,0.0
rtier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tdjhl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uavma,0.7,0.0,0.6,0.6,0.6,0.6,0.3,0.6,0.5,0.3,0.9,0.5,0.0,0.6,0.6,0.9,0.2,0.0,0.4,0.6,0.0,0.4,0.0,0.8,0.5,0.7,0.7,0.9,0.6,0.4,0.8,0.3,0.0,0.4,1.0,0.0,0.5,0.0,0.5,0.6,0.9,1.0,0.7,0.6,0.9,0.7,0.9,0.2,0.8,0.7
ubvb5,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.2,0.6,0.0,0.0,0.1,0.2,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.1,0.2,0.0,0.3,0.0,0.4,0.0,0.1,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.1,0.0
unnp0,0.6,0.0,0.2,0.1,0.0,0.4,0.2,0.1,0.5,0.2,0.4,0.5,0.0,0.8,0.1,0.7,0.0,0.1,0.2,0.4,0.7,0.2,0.4,0.6,0.0,0.2,0.7,0.0,0.3,0.7,0.3,0.3,0.4,0.2,0.8,0.6,0.6,0.0,0.3,0.0,0.3,0.8,1.0,0.5,0.3,0.2,0.2,0.2,0.9,0.6
v2537,0.4,0.0,0.0,0.0,0.3,0.5,0.2,0.1,0.0,0.2,0.1,0.0,0.4,0.4,0.1,0.6,0.0,0.1,0.2,0.2,0.3,0.1,0.0,0.3,0.1,0.0,0.3,0.3,0.2,0.5,0.3,0.2,0.3,0.1,0.4,0.4,0.2,0.3,0.0,0.0,0.3,0.4,0.8,0.0,0.1,0.0,0.0,0.1,0.2,0.4
vfg08,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vnfe9,0.4,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.3,0.3,0.0,0.1,0.0,0.0,0.0,0.1,0.4,0.1,0.0,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.3,0.9,0.0,0.0,0.0,0.1,0.0,0.4,0.0
vwa3s,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.1,0.0,0.2,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w79fa,0.9,0.1,0.2,0.1,0.0,0.7,0.0,0.1,0.7,0.0,0.0,0.2,0.7,1.0,0.3,0.2,0.0,0.2,0.3,0.6,0.2,0.0,0.5,0.1,0.0,0.1,0.5,0.5,0.5,0.4,0.6,0.2,0.5,0.0,0.7,0.0,0.6,0.3,0.2,0.0,0.2,0.6,0.9,0.6,0.0,0.0,0.0,0.0,0.7,0.4
wj4fj,1.0,0.0,0.0,0.2,0.8,0.8,0.9,0.1,0.6,0.1,0.0,0.3,0.6,0.8,0.1,0.3,0.0,0.0,0.3,0.0,0.5,0.0,0.4,0.3,0.0,0.1,0.4,0.7,0.8,0.5,0.5,0.2,0.3,0.5,0.7,0.8,0.4,0.1,0.1,0.1,0.2,0.4,1.0,0.4,0.0,0.0,0.2,0.2,0.0,0.6
wjwzo,0.3,0.0,0.0,0.6,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.2,0.1,0.5,0.0,0.0,0.1,0.1,0.2,0.2,0.0,0.3,0.1,0.2,0.1,0.0,0.1,0.2,0.2,0.1,0.4,0.0,0.4,0.1,0.2,0.1,0.1,0.0,0.4,0.3,0.2,0.1,0.3,0.0,0.2,0.0,0.2,0.0
wwpxq,0.1,0.0,0.3,0.4,0.4,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.5,0.2,0.0,0.2,0.1,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.1,0.0
xp4xs,0.4,0.0,0.0,0.2,0.0,0.0,0.4,0.1,0.3,0.1,0.1,0.1,0.0,0.6,0.2,0.4,0.0,0.0,0.0,0.1,0.6,0.1,0.5,0.5,0.0,0.0,0.0,0.0,0.2,0.5,0.2,0.1,0.0,0.0,0.4,0.4,0.3,0.2,0.0,0.0,0.4,0.8,0.7,0.0,0.1,0.1,0.0,0.2,0.5,0.1
xtvi3,0.0,0.0,0.1,0.1,0.7,0.0,0.1,0.0,0.1,0.0,0.2,0.3,0.1,0.2,0.1,0.6,0.1,0.0,0.2,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.2,0.2,0.0,0.3,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.0
xvpsf,0.2,0.0,0.0,0.6,0.6,0.1,0.3,0.1,0.0,0.0,0.0,0.1,0.1,0.3,0.0,0.7,0.0,0.0,0.1,0.2,0.4,0.2,0.0,0.0,0.2,0.1,0.0,0.2,0.0,0.4,0.2,0.1,0.2,0.1,0.5,0.1,0.2,0.0,0.2,0.1,0.1,0.3,0.0,0.0,0.2,0.3,0.5,0.3,0.1,0.0
yi3lr,0.0,0.0,0.1,0.2,0.8,0.1,0.2,0.0,0.1,0.0,0.2,0.4,0.3,0.5,0.1,0.6,0.1,0.0,0.5,0.3,0.3,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.2,0.0,0.3,0.6,0.0,0.6,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.1,0.2,0.3,0.2,0.0,0.0
yxl0f,0.1,0.1,0.4,0.5,0.3,0.2,0.0,0.5,0.0,0.0,0.4,0.0,0.3,0.5,0.0,0.3,0.0,0.0,0.0,0.3,0.2,0.0,0.5,0.4,0.3,0.5,0.4,0.1,0.1,0.1,0.4,0.0,0.0,0.1,0.6,0.0,0.5,0.3,0.3,0.0,0.4,0.3,0.0,0.1,0.5,0.5,0.1,0.0,0.0,0.0
z53im,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.3,0.0,0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.1,0.0,0.6,0.0,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0
ztjoi,0.5,0.3,0.0,0.8,0.2,0.4,0.5,0.4,0.4,0.1,0.1,0.1,0.9,0.3,0.5,0.7,0.0,0.2,0.0,0.3,0.0,0.2,0.6,0.0,0.5,0.5,0.2,0.6,0.0,0.2,0.4,0.1,0.0,0.1,0.0,0.3,0.2,0.5,0.3,0.4,0.6,0.5,0.7,0.0,0.6,0.6,0.0,0.4,0.6,0.3
